Rank;Title;Artists;Date;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Valence;Points;Day in trending
1;Ella Baila Sola;Eslabon Armado, Peso Pluma;29/05/2023;0.668;0.758;-5.176.000;0.033;0.483;0.000;0.834;200;74
2;WHERE SHE GOES;Bad Bunny;29/05/2023;0.652;0.800;-4.019.000;0.061;0.143;0.629;0.234;199;11
3;La Bebe - Remix;Yng Lvcas, Peso Pluma;29/05/2023;0.812;0.479;-5.678.000;0.333;0.213;0.000;0.559;198;73
4;Cupid - Twin Ver.;FIFTY FIFTY;29/05/2023;0.783;0.592;-8.332.000;0.033;0.435;0.000;0.726;197;78
5;un x100to;Grupo Frontera, Bad Bunny;29/05/2023;0.569;0.724;-4.076.000;0.047;0.228;0.000;0.562;196;43
6;Flowers;Miley Cyrus;29/05/2023;0.707;0.681;-4.325.000;0.067;0.063;0.000;0.646;195;137
7;Daylight;David Kushner;29/05/2023;0.508;0.430;-9.475.000;0.034;0.830;0.000;0.324;194;46
8;Kill Bill;SZA;29/05/2023;0.644;0.735;-5.747.000;0.039;0.052;0.144;0.418;193;149
9;As It Was;Harry Styles;29/05/2023;0.520;0.731;-5.338.000;0.056;0.342;0.001;0.662;192;149
10;TQG;KAROL G, Shakira;29/05/2023;0.720;0.630;-3.547.000;0.277;0.673;0.000;0.607;191;95
11;Classy 101;Feid, Young Miko;29/05/2023;0.859;0.658;-4.790;0.159;0.145;0.000;0.672;190;60
12;TQM;Fuerza Regida;29/05/2023;0.786;0.853;-4.955.000;0.059;0.273;0.000;0.963;189;11
13;Anti-Hero;Taylor Swift;29/05/2023;0.637;0.643;-6.571.000;0.052;0.130;0.000;0.533;188;149
14;Calm Down (with Selena Gomez);Rema, Selena Gomez;29/05/2023;0.799;0.802;-5.196.000;0.037;0.429;0.001;0.811;187;149
15;Creepin' (with The Weeknd & 21 Savage);Metro Boomin, The Weeknd, 21 Savage;29/05/2023;0.715;0.620;-6.005.000;0.048;0.417;0.000;0.172;186;149
16;Die For You (with Ariana Grande) - Remix;The Weeknd, Ariana Grande;29/05/2023;0.575;0.500;-7.594.000;0.071;0.227;0.000;0.506;185;77
17;Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long);Kodak Black, NLE Choppa, Jimin, JVKE, Muni Long;29/05/2023;0.715;0.681;-4.250;0.113;0.129;0.000;0.277;184;12
18;See You Again (feat. Kali Uchis);Tyler, The Creator, Kali Uchis;29/05/2023;0.558;0.559;-9.222.000;0.096;0.371;0.000;0.620;183;50
19;Angels Like You;Miley Cyrus;29/05/2023;0.672;0.642;-4.035.000;0.031;0.098;0.000;0.494;182;61
20;Last Night;Morgan Wallen;29/05/2023;0.492;0.675;-5.456.000;0.039;0.467;0.000;0.478;181;119
21;BESO;ROSALÍA, Rauw Alejandro;29/05/2023;0.768;0.644;-6.671.000;0.136;0.736;0.001;0.530;180;67
22;El Azul;Junior H, Peso Pluma;29/05/2023;0.558;0.648;-7.081.000;0.055;0.226;0.000;0.844;179;95
23;I Wanna Be Yours;Arctic Monkeys;29/05/2023;0.464;0.417;-9.345.000;0.026;0.136;0.022;0.479;178;149
24;All My Life (feat. J. Cole);Lil Durk, J. Cole;29/05/2023;0.787;0.570;-5.881.000;0.225;0.045;0.000;0.733;177;18
25;Die For You;The Weeknd;29/05/2023;0.586;0.525;-7.163.000;0.062;0.111;0.000;0.508;176;181
26;Yandel 150;Yandel, Feid;29/05/2023;0.783;0.729;-3.549.000;0.069;0.049;0.000;0.580;175;146
